"","pr","tas","tasmax","tasmin","orog","sftlf","huss"
"CMIP5_CSIRO-Mk3-6-0_r7i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r8i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r9i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_EC-EARTH_r11i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r12i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r13i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r14i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r2i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r5i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r6i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r7i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r8i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r9i1p1_rcp45",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"CMIP5_FGOALS-g2_r1i1p1_rcp45",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_GFDL-ESM2G_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_GFDL-ESM2M_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_GISS-E2-R_r6i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_GISS-E2-R_r6i1p3_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadCM3_r10i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadCM3_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadCM3_r2i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadCM3_r3i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadCM3_r4i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadCM3_r5i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadCM3_r6i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadCM3_r7i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadCM3_r8i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadCM3_r9i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_HadGEM2-CC_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-ES_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-ES_r2i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-ES_r3i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-ES_r4i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_inmcm4_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-LR_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-LR_r2i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-LR_r3i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-LR_r4i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-MR_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5B-LR_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC-ESM-CHEM_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC-ESM_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC4h_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC4h_r2i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC4h_r3i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC5_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC5_r2i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC5_r3i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-LR_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-LR_r2i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-LR_r3i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-MR_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-MR_r2i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-MR_r3i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MRI-CGCM3_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_NorESM1-M_r1i1p1_rcp45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_ACCESS1-0_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_ACCESS1-3_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_bcc-csm1-1-m_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_bcc-csm1-1_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_BNU-ESM_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_CanESM2_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CanESM2_r2i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CanESM2_r3i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CanESM2_r4i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CanESM2_r5i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CCSM4_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CCSM4_r2i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CCSM4_r3i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CCSM4_r4i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CCSM4_r5i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CCSM4_r6i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CESM1-BGC_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CMCC-CESM_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CMCC-CM_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CMCC-CMS_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CNRM-CM5_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r10i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r2i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r3i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r4i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r5i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r6i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r7i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r8i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_CSIRO-Mk3-6-0_r9i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_EC-EARTH_r11i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r12i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r13i1p1_rcp85",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r14i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r2i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r5i1p1_rcp85",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r6i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r7i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r8i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r9i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_FGOALS-g2_r1i1p1_rcp85",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_GFDL-CM3_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_GFDL-ESM2G_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_GFDL-ESM2M_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-CC_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-CC_r2i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-CC_r3i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-ES_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-ES_r2i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-ES_r3i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_HadGEM2-ES_r4i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_inmcm4_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-LR_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-LR_r2i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-LR_r3i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-LR_r4i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5A-MR_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_IPSL-CM5B-LR_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC-ESM-CHEM_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC-ESM_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC5_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC5_r2i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MIROC5_r3i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-LR_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-LR_r2i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-LR_r3i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MPI-ESM-MR_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_MRI-CGCM3_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_NorESM1-M_r1i1p1_rcp85",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
